Datum,Zeit,Link
2019-05-11,1:16:01,http://bern.mikatiming.de/2018/?content=detail&fpid=search&pid=search&idp=9999990D2FDD16000027236C&lang=DE&event=GP_9999990D2FDD160000000264&search%5Bname%5D=haberth%C3%BCr&search%5Bfirstname%5D=david&search_event=GP_9999990D2FDD160000000264 
2017-05-13,1:14:14,http://bern.mikatiming.de/2017/?content=detail&fpid=search&pid=search&idp=9999990D2FDD16000022D8FF&lang=DE&event=GP&search%5Bname%5D=haberthür&search%5Bnation%5D=%25&search_sort=name&search_event=GP
2016-05-14,1:13:35,http://bern.mikatiming.de/2016/?content=detail&fpid=search&pid=search&idp=0000170D2FDD160000223F52&lang=EN&event=GP&search%5Bname%5D=haberthür&search%5Bage_class%5D=%25&search%5Bsex%5D=%25&search%5Bnation%5D=%25&search%5Bstate%5D=%25&search_sort=name&search_event=GP
2015-05-09,1:13:57,http://bern.mikatiming.de/2015/?content=detail&fpid=search&pid=search&idp=9999990D2FDD1600002128F7&lang=EN&event=GP&search%5Bname%5D=haberthür&search%5Bage_class%5D=%25&search%5Bsex%5D=%25&search%5Bnation%5D=%25&search%5Bstate%5D=%25&search_sort=name&search_event=GP
2014-05-10,1:14:55,http://bern.mikatiming.de/2014/?content=detail&fpid=search&pid=search&idp=9999990D2FDD160000204078&lang=EN&event=GP&search%5Bname%5D=haberthür&search%5Bclub%5D=%25&search%5Bage_class%5D=%25&search%5Bsex%5D=%25&search%5Bnation%5D=%25&search%5Bstate%5D=%25&search_sort=name&search_event=GP
2013-05-18,1:15:59,http://bern.mikatiming.de/2013/?content=detail&fpid=search&pid=search&idp=0000010D2FDD1600001E57A5&lang=EN&event=GP&search%5Bname%5D=haberthür&search%5Bclub%5D=%25&search%5Bage_class%5D=%25&search%5Bsex%5D=%25&search%5Bnation%5D=%25&search%5Bstate%5D=%25&search_sort=name&search_event=GP
2012-05-12,1:11:42,http://bern.mikatiming.de/2012/?content=detail&fpid=search&pid=search&idp=0000010D2FDD1600001C6A15&lang=EN&event=GP&search%5Bname%5D=haberthür&search%5Bclub%5D=%25&search%5Bage_class%5D=%25&search%5Bsex%5D=%25&search%5Bnation%5D=%25&search%5Bstate%5D=%25&search_sort=name&search_event=GP
2011-05-14,,http://bern.mikatiming.de/2011/?content=detail&fpid=search&pid=search&idp=0000010D2FDD1600001BFC05&lang=EN&event=GP&search%5Bname%5D=haberthür&search%5Bage_class%5D=%25&search%5Bsex%5D=%25&search%5Bnation%5D=%25&search%5Bstate%5D=%25&search_sort=name&search_event=GP
2010-05-22,,
2009-04-18,1:12:39,http://bern.mikatiming.de/2009/?content=detail&fpid=search&pid=search&id=0000010D2FDD1600001B0F57&lang=EN&event=GP&search%5Bname%5D=haberthür&search_sort=name&search_event=GP
2008-05-10,,
2007-05-12,1:12:03,
2006-05-13,1:03:54,https://services.datasport.com/2006/lauf/gp/alfah.htm
2005-05-21,1:11:21,https://services.datasport.com/2005/lauf/gp/alfah.htm
2004-05-08,1:09:27,https://services.datasport.com/2004/lauf/gp/alfah.htm
2003-05-10,1:11:23,https://services.datasport.com/2003/lauf/gp/alfah.htm
2002-05-11,1:12:46,https://services.datasport.com/2002/lauf/gp/alfah.htm
2001-05-12,1:18:49,https://services.datasport.com/2001/lauf/gp/alfah.htm
2000-05-13,,
1999-05-08,1:24:15,https://services.datasport.com/1999/lauf/gp/alfah.htm
1998-05-09,,
1997-04-27,1:27:29,
1996-05-04,,
1995-05-06,1:26:49,
1994-05-07,1:23:58,
1993-05-08,1:23:06,
